iter	Passed	Remaining
398	2257	3401
399	2263	3394
400	2268	3387
401	2273	3382
402	2280	3378
403	2285	3371
404	2292	3367
405	2297	3361
406	2303	3355
407	2308	3349
408	2314	3343
409	2319	3337
410	2325	3332
411	2330	3326
412	2336	3321
413	2341	3314
414	2346	3308
415	2352	3302
416	2357	3295
417	2363	3290
418	2368	3284
419	2374	3279
420	2379	3273
421	2386	3268
422	2391	3262
423	2397	3256
424	2402	3251
425	2408	3245
426	2414	3239
427	2420	3235
428	2425	3228
429	2431	3223
430	2438	3218
431	2442	3211
432	2448	3205
433	2454	3200
434	2459	3193
435	2464	3187
436	2469	3181
437	2475	3176
438	2480	3170
439	2486	3164
440	2492	3159
441	2497	3152
442	2503	3147
443	2508	3141
444	2513	3135
445	2519	3129
446	2525	3124
447	2530	3118
448	2537	3113
449	2543	3108
450	2549	3103
451	2555	3098
452	2560	3091
453	2565	3085
454	2571	3079
455	2576	3074
456	2581	3067
457	2587	3062
458	2592	3055
459	2598	3050
460	2604	3045
461	2610	3040
462	2616	3034
463	2621	3027
464	2626	3022
465	2632	3016
466	2637	3010
467	2643	3004
468	2649	2999
469	2654	2993
470	2659	2987
471	2665	2981
472	2671	2976
473	2676	2969
474	2682	2964
475	2687	2958
476	2692	2952
477	2698	2946
478	2703	2940
479	2708	2934
480	2713	2928
481	2719	2922
482	2724	2916
483	2731	2912
484	2737	2906
485	2743	2902
486	2750	2897
487	2756	2891
488	2767	2891
489	2773	2886
490	2780	2882
491	2786	2877
492	2791	2871
493	2798	2866
494	2803	2860
495	2809	2855
496	2815	2849
497	2821	2843
498	2826	2837
499	2832	2832
500	2837	2825
501	2843	2820
502	2848	2814
503	2853	2808
504	2858	2801
505	2864	2796
506	2869	2790
507	2875	2784
508	2881	2779
509	2886	2772
510	2891	2766
511	2897	2761
512	2903	2756
513	2908	2750
514	2915	2745
515	2920	2739
516	2926	2733
517	2931	2727
518	2936	2721
519	2942	2716
520	2948	2710
521	2953	2704
522	2959	2698
523	2964	2692
524	2969	2686
525	2974	2680
526	2980	2675
527	2986	2669
528	2992	2664
529	2998	2658
530	3003	2653
531	3009	2647
532	3015	2642
533	3021	2636
534	3027	2631
535	3032	2625
536	3037	2619
537	3044	2614
538	3050	2609
539	3056	2603
540	3061	2597
541	3066	2591
542	3072	2586
543	3078	2580
544	3083	2574
545	3088	2568
546	3093	2562
547	3098	2556
548	3104	2549
549	3110	2544
550	3115	2538
551	3120	2532
552	3127	2528
553	3133	2522
554	3139	2517
555	3144	2511
556	3150	2505
557	3155	2499
558	3161	2493
559	3166	2488
560	3172	2482
561	3178	2477
562	3183	2471
563	3189	2465
564	3195	2459
565	3199	2453
566	3206	2448
567	3211	2442
568	3216	2436
569	3222	2430
570	3228	2425
571	3233	2419
572	3239	2413
573	3244	2407
574	3248	2401
575	3254	2395
576	3260	2390
577	3266	2384
578	3271	2378
579	3276	2372
580	3282	2367
581	3288	2361
582	3293	2355
583	3298	2349
584	3304	2344
585	3309	2338
586	3314	2332
587	3320	2326
588	3326	2321
589	3332	2315
590	3338	2310
591	3343	2304
592	3348	2297
593	3354	2292
594	3360	2287
595	3366	2281
596	3372	2276
597	3378	2271
598	3383	2265
599	3389	2259
600	3394	2253
601	3399	2247
602	3405	2242
603	3410	2236
604	3415	2230
605	3421	2224
606	3426	2218
607	3431	2212
608	3437	2207
609	3443	2201
610	3448	2195
611	3454	2190
612	3459	2184
613	3466	2179
614	3471	2173
615	3476	2166
616	3482	2161
617	3487	2155
618	3492	2149
619	3497	2143
620	3503	2138
621	3508	2132
622	3513	2126
623	3519	2120
624	3524	2114
625	3530	2109
626	3536	2103
627	3542	2098
628	3547	2092
629	3552	2086
630	3557	2080
631	3562	2074
632	3567	2068
633	3572	2062
634	3577	2056
635	3583	2050
636	3588	2045
637	3593	2038
638	3599	2033
639	3604	2027
640	3610	2022
641	3616	2016
642	3621	2010
643	3626	2004
644	3632	1999
645	3637	1993
646	3642	1987
647	3648	1981
648	3654	1976
649	3659	1970
650	3665	1965
651	3671	1959
652	3676	1953
653	3682	1948
654	3687	1942
655	3692	1936
656	3698	1930
657	3704	1925
658	3709	1919
659	3716	1914
660	3721	1908
661	3727	1903
662	3734	1897
663	3740	1892
664	3746	1887
665	3752	1881
666	3757	1875
667	3764	1870
668	3769	1865
669	3774	1859
670	3780	1853
671	3785	1847
672	3790	1841
673	3796	1836
674	3802	1831
675	3808	1825
676	3814	1819
677	3819	1814
678	3824	1808
679	3831	1803
680	3836	1797
681	3842	1791
682	3848	1786
683	3854	1780
684	3861	1775
685	3866	1769
686	3871	1763
687	3877	1758
688	3882	1752
689	3887	1746
690	3893	1741
691	3899	1735
692	3904	1729
693	3910	1724
694	3915	1718
695	3920	1712
696	3926	1707
697	3932	1701
698	3937	1695
699	3943	1689
700	3948	1684
701	3953	1678
702	3958	1672
703	3964	1667
704	3969	1661
705	3975	1655
706	3981	1649
707	3986	1644
708	3991	1638
709	3996	1632
710	4002	1626
711	4008	1621
712	4014	1615
713	4020	1610
714	4026	1605
715	4032	1599
716	4038	1593
717	4043	1587
718	4049	1582
719	4055	1577
720	4061	1571
721	4066	1565
722	4072	1560
723	4078	1554
724	4083	1548
725	4089	1543
726	4095	1537
727	4100	1532
728	4107	1526
729	4112	1520
730	4118	1515
731	4123	1509
732	4128	1503
733	4133	1498
734	4140	1492
735	4144	1486
736	4149	1480
737	4155	1475
738	4161	1469
739	4166	1463
740	4173	1458
741	4178	1452
742	4182	1446
743	4189	1441
744	4193	1435
745	4198	1429
746	4204	1423
747	4209	1418
748	4214	1412
749	4220	1406
750	4225	1400
751	4231	1395
752	4236	1389
753	4241	1383
754	4246	1378
755	4252	1372
756	4258	1366
757	4262	1361
758	4268	1355
759	4274	1349
760	4279	1344
761	4285	1338
762	4291	1332
763	4297	1327
764	4303	1321
765	4308	1316
766	4313	1310
767	4318	1304
768	4324	1298
769	4329	1293
770	4335	1287
771	4340	1281
772	4345	1276
773	4351	1270
774	4356	1264
775	4362	1259
776	4368	1253
777	4375	1248
778	4380	1242
779	4386	1237
780	4391	1231
781	4396	1225
782	4402	1220
783	4407	1214
784	4412	1208
785	4418	1203
786	4424	1197
787	4429	1191
788	4435	1186
789	4440	1180
790	4446	1174
791	4452	1169
792	4457	1163
793	4463	1158
794	4469	1152
795	4475	1146
796	4480	1141
797	4485	1135
798	4491	1129
799	4497	1124
800	4503	1118
801	4508	1113
802	4515	1107
803	4520	1102
804	4525	1096
805	4531	1090
806	4537	1085
807	4543	1079
808	4549	1074
809	4555	1068
810	4561	1062
811	4566	1057
812	4572	1051
813	4577	1045
814	4583	1040
815	4589	1034
816	4595	1029
817	4601	1023
818	4606	1017
819	4612	1012
820	4618	1006
821	4623	1001
822	4629	995
823	4634	989
824	4640	984
825	4646	978
826	4651	973
827	4656	967
828	4662	961
829	4667	956
830	4672	950
831	4678	944
832	4685	939
833	4690	933
834	4695	927
835	4701	922
836	4706	916
837	4712	911
838	4717	905
839	4723	899
840	4730	894
841	4737	888
842	4742	883
843	4748	877
844	4752	871
845	4759	866
846	4764	860
847	4770	855
848	4775	849
849	4781	843
850	4787	838
851	4794	832
852	4800	827
853	4805	821
854	4811	816
855	4816	810
856	4822	804
857	4828	799
858	4834	793
859	4839	787
860	4845	782
861	4851	776
862	4857	771
863	4863	765
864	4868	759
865	4874	754
866	4879	748
867	4885	742
868	4892	737
869	4898	731
870	4905	726
871	4912	721
872	4918	715
873	4925	710
874	4931	704
875	4937	698
876	4945	693
877	4950	687
878	4957	682
879	4963	676
880	4968	671
881	4973	665
882	4978	659
883	4983	653
884	4990	648
885	4995	642
886	5000	637
887	5006	631
888	5012	625
889	5017	620
890	5022	614
891	5027	608
892	5033	603
893	5039	597
894	5044	591
895	5050	586
896	5056	580
897	5061	574
898	5067	569
899	5073	563
900	5078	558
901	5085	552
902	5091	546
903	5096	541
904	5101	535
905	5107	529
906	5113	524
907	5120	518
908	5126	513
909	5131	507
910	5138	502
911	5145	496
912	5151	490
913	5158	485
914	5163	479
915	5169	474
916	5174	468
917	5179	462
918	5185	457
919	5190	451
920	5195	445
921	5200	439
922	5206	434
923	5212	428
924	5218	423
925	5224	417
926	5229	411
927	5235	406
928	5240	400
929	5246	394
930	5252	389
931	5258	383
932	5263	377
933	5269	372
934	5275	366
935	5281	361
936	5287	355
937	5292	349
938	5298	344
939	5307	338
940	5313	333
941	5320	327
942	5326	321
943	5331	316
944	5337	310
945	5342	304
946	5348	299
947	5355	293
948	5360	288
949	5368	282
950	5373	276
951	5378	271
952	5384	265
953	5389	259
954	5395	254
955	5401	248
956	5407	242
957	5412	237
958	5419	231
959	5425	226
960	5430	220
961	5436	214
962	5442	209
963	5449	203
964	5454	197
965	5459	192
966	5465	186
967	5470	180
968	5476	175
969	5482	169
970	5487	163
971	5493	158
972	5498	152
973	5503	146
974	5508	141
975	5515	135
976	5520	129
977	5525	124
978	5531	118
979	5537	113
980	5541	107
981	5547	101
982	5552	96
983	5557	90
984	5563	84
985	5569	79
986	5575	73
987	5581	67
988	5586	62
989	5592	56
990	5598	50
991	5603	45
992	5608	39
993	5615	33
994	5621	28
995	5627	22
996	5633	16
997	5638	11
998	5643	5
999	5649	0
