iter	RMSE
261	0.2130888616
262	0.2130517966
263	0.2129646506
264	0.2129160172
265	0.2128931544
266	0.2128265755
267	0.2127998908
268	0.2127414787
269	0.2127008764
270	0.2126425534
271	0.2126027424
272	0.212562473
273	0.212529028
274	0.2124887691
275	0.2124564118
276	0.2123710556
277	0.2123005308
278	0.2122633998
279	0.2122457953
280	0.2122077323
281	0.2121718921
282	0.2121055867
283	0.2120619928
284	0.211998708
285	0.2119544029
286	0.2119105907
287	0.2118819158
288	0.211823397
289	0.2117861671
290	0.2117529077
291	0.2117146284
292	0.2116605168
293	0.2116094945
294	0.2115714549
295	0.2115474285
296	0.2114924664
297	0.2114425617
298	0.2113694739
299	0.2113228211
300	0.2112931071
301	0.2112389299
302	0.211210293
303	0.2111564814
304	0.2111119618
305	0.2110737172
306	0.2110209182
307	0.2109857236
308	0.2109430118
309	0.2108849225
310	0.2108499557
311	0.210806444
312	0.2107625466
313	0.2107042244
314	0.210635103
315	0.2106112296
316	0.2105476499
317	0.2105104448
318	0.2104781172
319	0.2104487618
320	0.2104064908
321	0.2103527893
322	0.2103331695
323	0.2102935986
324	0.210253925
325	0.2102208249
326	0.2101876488
327	0.2101548661
328	0.2101236553
329	0.210083395
330	0.21005299
331	0.210007385
332	0.209986485
333	0.2099579086
334	0.209923327
335	0.2099052493
336	0.2098697446
337	0.2098133004
338	0.2097789775
339	0.2097412012
340	0.2096942635
341	0.2096585228
342	0.2096202421
343	0.2095710343
344	0.209544662
345	0.209496023
346	0.2094600168
347	0.2094098679
348	0.2093728884
349	0.2093370192
350	0.2092759646
351	0.2092440134
352	0.2092012192
353	0.2091744968
354	0.2091461088
355	0.2091020348
356	0.2090844121
357	0.2090543601
358	0.2090322906
359	0.2089918936
360	0.2089605142
361	0.2089215437
362	0.2088880686
363	0.2088633101
364	0.2088401743
365	0.2088268532
366	0.2088052271
367	0.2087526332
368	0.2087098637
369	0.2086778887
370	0.2086422359
371	0.2085900223
372	0.2085605417
373	0.2085401372
374	0.208510087
375	0.2084831701
376	0.2084488857
377	0.2083628493
378	0.2083363841
379	0.2083061898
380	0.2082667726
381	0.208249833
382	0.2082138699
383	0.2081727545
384	0.2081242945
385	0.208082157
386	0.2080522689
387	0.2080306321
388	0.2079964643
389	0.2079653601
390	0.2079293749
391	0.2078917923
392	0.2078602107
393	0.2078438418
394	0.20781511
395	0.2077937607
396	0.2077491009
397	0.2077175742
398	0.2077004799
399	0.2076780686
400	0.2076294513
401	0.2075889509
402	0.2075484947
403	0.2075147006
404	0.2074819743
405	0.2074583025
406	0.2074245031
407	0.2073957375
408	0.2073732662
409	0.2073393031
410	0.2073067678
411	0.2072762706
412	0.2072321072
413	0.2071951185
414	0.207166493
415	0.2071373183
416	0.2071052555
417	0.207085461
418	0.2070572943
419	0.2070333027
420	0.2069904284
421	0.2069595288
422	0.2069152596
423	0.2068872973
424	0.2068614621
425	0.2068427776
426	0.206816804
427	0.2067950592
428	0.2067660041
429	0.2067403547
430	0.2067157932
431	0.2066910789
432	0.206670109
433	0.2066437179
434	0.2066141399
435	0.2065879945
436	0.2065471699
437	0.2064988634
438	0.2064783391
439	0.2064318173
440	0.2064069653
441	0.2063898406
442	0.2063412972
443	0.2063163531
444	0.2062996335
445	0.2062694965
446	0.2062474571
447	0.2062178202
448	0.2061970434
449	0.2061579903
450	0.2061285061
451	0.206108373
452	0.2060693813
453	0.2060439935
454	0.206005241
455	0.20597863
456	0.2059527006
457	0.2059196839
458	0.2058882967
459	0.2058478332
460	0.2058219752
461	0.2057989793
462	0.2057736822
463	0.2057565481
464	0.2057396319
465	0.2057083668
466	0.2056867667
467	0.2056654847
468	0.2056461281
469	0.2056185676
470	0.2055921632
471	0.2055762104
472	0.2055273716
473	0.2054840336
474	0.2054623078
475	0.2054201161
476	0.205392211
477	0.2053672291
478	0.2053173126
479	0.2052925537
480	0.2052553277
481	0.2052203271
482	0.2051977944
483	0.2051716432
484	0.2051476859
485	0.205126839
486	0.2051109786
487	0.2050842525
488	0.2050530595
489	0.2050366258
490	0.2050089527
491	0.2049905972
492	0.2049597532
493	0.2049238681
494	0.2048940604
495	0.2048627731
496	0.2048352977
497	0.2048172173
498	0.2047856427
499	0.2047468753
500	0.2047251636
501	0.2046908292
502	0.2046609778
503	0.2046443725
504	0.2046169788
505	0.2046040811
506	0.2045823524
507	0.2045558102
508	0.2045329656
509	0.2045162643
510	0.2044986472
511	0.2044747172
512	0.2044594184
513	0.2044424362
514	0.2044271381
515	0.2044089461
516	0.2043680835
517	0.2043452253
518	0.2043300497
519	0.2043050063
520	0.2042841368
521	0.20425877
522	0.204235613
523	0.2042050096
524	0.2041795046
525	0.2041552105
526	0.204126075
527	0.2041120528
528	0.2040959603
529	0.2040686744
530	0.2040542079
531	0.204023448
532	0.2039961051
533	0.2039886056
534	0.2039610211
535	0.203933024
536	0.2039157595
537	0.2038936988
538	0.2038582086
539	0.2038448995
540	0.2038283255
541	0.2038044172
542	0.2037878465
543	0.2037649054
544	0.2037408775
545	0.2037107651
546	0.2036891897
547	0.2036704953
548	0.2036351048
549	0.2036072419
550	0.2035691979
551	0.2035490096
552	0.2035188675
553	0.2034974121
554	0.2034818775
555	0.2034631189
556	0.2034421565
557	0.2034249126
558	0.203407434
559	0.2033833698
560	0.2033573266
561	0.2033437917
562	0.203318008
563	0.2033006182
564	0.2032720179
565	0.2032442281
566	0.2032258156
567	0.2031988072
568	0.203169691
569	0.2031566471
570	0.2031325585
571	0.203112874
572	0.2030898533
573	0.2030650551
574	0.2030370751
575	0.2030182495
576	0.202994388
577	0.2029662107
578	0.2029442989
579	0.2029125238
580	0.2028908724
581	0.2028706512
582	0.2028536868
583	0.2028263104
584	0.2028119655
585	0.2027939626
586	0.202776232
587	0.20275102
588	0.2027239265
589	0.2027008991
590	0.2026689345
591	0.2026422874
592	0.2026256123
593	0.2025946735
594	0.2025694148
595	0.2025499242
596	0.20253654
597	0.2025129746
598	0.2024927175
599	0.2024795656
600	0.2024641285
601	0.202442758
602	0.2024243835
603	0.2024016662
604	0.2023809865
605	0.2023619132
606	0.2023477403
607	0.2023261
608	0.2022999272
609	0.2022740765
610	0.2022524982
611	0.2022329087
612	0.202217463
613	0.2021905155
614	0.2021557371
615	0.2021405463
616	0.2021140566
617	0.2020794814
618	0.2020669057
619	0.2020447797
620	0.2020195631
621	0.2020009602
622	0.2019807169
623	0.2019662027
624	0.2019529492
625	0.2019385795
626	0.201910346
627	0.2018949819
628	0.2018801361
629	0.2018641422
630	0.2018413156
631	0.2018277102
632	0.2018121574
633	0.2017835879
634	0.2017691498
635	0.2017494441
636	0.2017324718
637	0.2017061707
638	0.2016844315
639	0.2016626441
640	0.2016419893
641	0.2016257266
642	0.201606064
643	0.2015887647
644	0.2015715308
645	0.2015503657
646	0.2015265096
647	0.2014997003
648	0.2014845965
649	0.2014693014
650	0.2014532856
651	0.2014354235
652	0.2014182817
653	0.2013973361
654	0.2013738479
655	0.2013494117
656	0.2013310137
657	0.2013067916
658	0.2012868438
659	0.20126485
660	0.2012447701
661	0.2012216758
662	0.2011966448
663	0.2011764966
664	0.2011553819
665	0.2011396227
666	0.2011189391
667	0.2010945757
668	0.201072849
669	0.2010539678
670	0.2010323318
671	0.2010191042
672	0.2010079119
673	0.2009856779
674	0.2009633483
675	0.2009478691
676	0.2009312267
677	0.2009146147
678	0.2009009003
679	0.200875177
680	0.2008605592
681	0.2008456657
682	0.200815325
683	0.2007975618
684	0.2007829927
685	0.2007628475
686	0.200742563
687	0.20072684
688	0.2007087561
689	0.200674524
690	0.200658215
691	0.2006375275
692	0.2006246776
693	0.2006072528
694	0.2005789162
695	0.2005564419
696	0.200539183
697	0.2005220375
698	0.2005084713
699	0.2004846969
700	0.2004491584
701	0.2004304527
702	0.2004094301
703	0.2003915069
704	0.2003759804
705	0.2003552164
706	0.2003304471
707	0.2003083009
708	0.2002892372
709	0.2002773179
710	0.2002534454
711	0.2002294912
712	0.2002096567
713	0.2001860342
714	0.2001616867
715	0.2001349883
716	0.2001194694
717	0.2000885831
718	0.2000658241
719	0.2000547777
720	0.2000325815
721	0.2000196947
722	0.2000037962
723	0.1999925399
724	0.1999750236
725	0.1999504028
726	0.1999372081
727	0.1999237515
728	0.1999069505
729	0.1998899172
730	0.1998763707
731	0.1998552447
732	0.1998318511
733	0.1998185752
734	0.1998017466
735	0.1997839999
736	0.199759225
737	0.1997392911
738	0.1997150745
739	0.1997004078
740	0.1996875835
741	0.1996666248
742	0.1996466986
743	0.199632202
744	0.199610966
745	0.199594117
746	0.199580921
747	0.1995660816
748	0.1995434196
749	0.1995333971
750	0.199518103
751	0.1995073743
752	0.1994854729
753	0.1994697688
754	0.1994519773
755	0.1994335021
756	0.1994222367
757	0.1994059146
758	0.1993843681
759	0.1993622067
760	0.19934138
761	0.1993187752
762	0.1993070525
763	0.1992855888
764	0.1992727855
765	0.1992551681
766	0.1992495837
767	0.1992302937
768	0.1992099266
769	0.1991944326
770	0.199170762
771	0.1991507923
772	0.1991318068
773	0.1991156091
774	0.1990947204
775	0.1990799471
776	0.1990609102
777	0.1990367126
778	0.1990145731
779	0.1990030095
780	0.1989908313
781	0.1989674279
782	0.1989474228
783	0.1989378803
784	0.1989215295
785	0.198904492
786	0.1988910971
787	0.198877843
788	0.1988656562
789	0.1988521337
790	0.198838429
791	0.1988220551
792	0.1988019263
793	0.1987875598
794	0.1987676628
795	0.1987479419
796	0.1987343795
797	0.1987254967
798	0.1987155197
799	0.1986842846
800	0.1986774596
801	0.198664301
802	0.1986508253
803	0.1986366803
804	0.1986096549
805	0.1985882605
806	0.1985758424
807	0.1985599453
808	0.1985424101
809	0.1985203072
810	0.1985042321
811	0.1984901299
812	0.1984761493
813	0.1984558455
814	0.1984381148
815	0.1984204081
816	0.1984082513
817	0.1983777179
818	0.1983615176
819	0.1983405119
820	0.1983266816
821	0.1983113784
822	0.1982950975
823	0.1982843891
824	0.1982642087
825	0.198252971
826	0.1982402293
827	0.1982228686
828	0.1982020825
829	0.1981903725
830	0.1981748203
831	0.1981641324
832	0.1981269763
833	0.1981138994
834	0.1980953899
835	0.198082909
836	0.1980750063
837	0.198054642
838	0.1980449262
839	0.1980323827
840	0.198011401
841	0.1979931608
842	0.1979735532
843	0.1979623529
844	0.1979361066
845	0.1979178184
846	0.1979032313
847	0.1978872977
848	0.1978706163
849	0.1978571344
850	0.1978332251
851	0.1978151242
852	0.1978026452
853	0.1977818088
854	0.1977607589
855	0.1977458855
856	0.1977238097
857	0.1977047567
858	0.1976922002
859	0.1976748705
860	0.1976560597
861	0.1976407265
862	0.1976108872
863	0.1976019379
864	0.1975917124
865	0.1975741328
866	0.1975539
867	0.1975439777
868	0.1975295862
869	0.1975189172
870	0.1975061194
871	0.197491965
872	0.1974740186
873	0.1974581402
874	0.1974447088
875	0.1974320181
876	0.197417549
877	0.1974014004
878	0.1973889148
879	0.1973787941
880	0.1973653469
881	0.1973517509
882	0.1973366271
883	0.1973145645
884	0.1973048002
885	0.1972820057
886	0.1972679396
887	0.1972488097
888	0.1972423267
889	0.1972219968
890	0.1971967548
891	0.1971819607
892	0.1971704665
893	0.1971539955
894	0.1971446719
895	0.1971114314
896	0.197090816
897	0.1970655988
898	0.1970454149
899	0.1970308112
900	0.1970162521
901	0.1969914068
902	0.196983379
903	0.196972129
904	0.1969552142
905	0.1969333317
906	0.196911519
907	0.1968794741
908	0.1968713122
909	0.1968605311
910	0.1968512867
911	0.196833543
912	0.1968110396
913	0.1967913947
914	0.1967715959
915	0.1967520746
916	0.1967382145
917	0.1967238721
918	0.1967159202
919	0.1967014779
920	0.1966889152
921	0.1966771686
922	0.1966551934
923	0.1966409012
924	0.1966211327
925	0.1966060484
926	0.1965867314
927	0.1965739502
928	0.1965616432
929	0.1965426908
930	0.1965333951
931	0.1965134792
932	0.1965042284
933	0.196493542
934	0.1964823397
935	0.1964704831
936	0.1964597891
937	0.1964389741
938	0.1964157453
939	0.1963941051
940	0.1963805688
941	0.1963554729
942	0.1963297735
943	0.1963211274
944	0.1963031203
945	0.1962875715
946	0.1962752504
947	0.1962604053
948	0.1962509187
949	0.1962384988
950	0.1962222766
951	0.1962066638
952	0.1961857764
953	0.1961653582
954	0.1961454584
955	0.1961357689
956	0.1961224442
957	0.1961123054
958	0.1960951078
959	0.196081917
960	0.196064666
961	0.196051311
962	0.1960354159
963	0.1960245423
964	0.1960128945
965	0.1959932916
966	0.1959782582
967	0.1959694266
968	0.195957261
969	0.1959467056
970	0.1959347468
971	0.1959177683
972	0.1958828897
973	0.1958697393
974	0.1958588206
975	0.1958379656
976	0.1958088149
977	0.1957952521
978	0.1957756312
979	0.1957594497
980	0.1957351688
981	0.1957186799
982	0.1957073036
983	0.1956904629
984	0.1956810647
985	0.1956735716
986	0.1956555904
987	0.1956360376
988	0.1956212363
989	0.1956066749
990	0.195591791
991	0.1955711133
992	0.1955575005
993	0.1955409333
994	0.1955233793
995	0.1955129684
996	0.1955028876
997	0.195489543
998	0.1954812655
999	0.1954697733
